,id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penduduk_miskin,tahun,indeks_keparahan_kemiskinan,persentase_penduduk,jumlah_tenaga_kerja,pengeluaran_per_kapita,tingkat_pengangguran,jumlah_umkm
0,433,32,JAWA BARAT,3201,KABUPATEN BOGOR,415.0,2018,0.26,7.14,4166430,10323.0,9.83,422894
1,434,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,166.3,2018,0.19,6.76,3346640,8618.0,7.84,303319
2,435,32,JAWA BARAT,3203,KABUPATEN CIANJUR,221.6,2018,0.27,9.81,1672240,7874.0,10.23,282804
3,436,32,JAWA BARAT,3204,KABUPATEN BANDUNG,246.1,2018,0.2,6.65,2609950,10203.0,5.07,398346
4,437,32,JAWA BARAT,3205,KABUPATEN GARUT,241.3,2018,0.37,9.27,2017700,7597.0,7.12,292200
5,438,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,172.4,2018,0.23,9.85,1723680,7761.0,6.92,212060
6,439,32,JAWA BARAT,3207,KABUPATEN CIAMIS,85.7,2018,0.26,7.22,1925040,9190.0,4.64,157543
7,440,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,131.2,2018,0.4,12.22,1943240,9297.0,9.1,106990
8,441,32,JAWA BARAT,3209,KABUPATEN CIREBON,232.4,2018,0.55,10.7,1048630,10212.0,10.64,284829
9,442,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,129.3,2018,0.51,10.79,1825470,9416.0,5.0,176850
10,443,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,112.1,2018,0.47,9.76,1700210,10153.0,7.54,131027
11,444,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,204.2,2018,0.6,11.89,1248720,9633.0,8.46,215418
12,445,32,JAWA BARAT,3213,KABUPATEN SUBANG,136.6,2018,0.51,8.67,1499960,10715.0,8.71,191437
13,446,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,75.9,2018,0.16,7.99,1585840,11372.0,9.94,98376
14,447,32,JAWA BARAT,3215,KABUPATEN KARAWANG,188.0,2018,0.3,8.06,4265060,11277.0,9.12,263408
15,448,32,JAWA BARAT,3216,KABUPATEN BEKASI,157.2,2018,0.15,4.37,8453930,11155.0,9.74,260517
16,449,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,169.0,2018,0.35,10.06,276800,8329.0,8.55,176225
17,450,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,32.2,2018,0.3,8.12,12790,8968.0,3.59,67985
18,451,32,JAWA BARAT,3271,KOTA BOGOR,64.9,2018,0.17,5.93,2844920,11348.0,9.74,97429
19,452,32,JAWA BARAT,3272,KOTA SUKABUMI,23.2,2018,0.26,7.12,1332290,10609.0,8.57,45083
20,453,32,JAWA BARAT,3273,KOTA BANDUNG,89.4,2018,0.11,3.57,1292080,16630.0,8.05,387815
21,454,32,JAWA BARAT,3274,KOTA CIREBON,28.0,2018,0.19,8.88,1622200,11397.0,9.07,45355
22,455,32,JAWA BARAT,3275,KOTA BEKASI,119.8,2018,0.18,4.11,1310040,15755.0,9.14,228960
